"filename" "date" "event" "off_min" "sitting_min" "standing_min" "walking_min" "cycling_min" "high_intensity_min" "activity_min" "duration_min" "off_METmin" "sitting_METmin" "standing_METmin" "walking_METmin" "cycling_METmin" "high_intensity_METmin" "all_METmin" "activity_METmin" "light_min" "mpa_min" "vpa_min" "mvpa_min" "duration_below_walkingMETs_min" "duration_above_walkingMETs_min" "off_percent" "sitting_percent" "standing_percent" "walking_percent" "cycling_percent" "high_intensity_percent" "activity_percent" "light_percent" "mpa_percent" "vpa_percent" "mvpa_percent" "duration_below_walkingMETs_percent" "duration_above_walkingMETs_percent" "off_METs" "sitting_METs" "standing_METs" "walking_METs" "cycling_METs" "high_intensity_METs" "all_METs" "activity_METs" "sitting_bouts_n" "sitting_bouts_below10min_n" "sitting_bouts_10to30min_n" "sitting_bouts_above30min_n" "sitting_bouts_below10min_dur_min" "sitting_bouts_10to30min_dur_min" "sitting_bouts_above30min_dur_min" "sitting_bout_dur_min_mean" "sitting_bout_dur_min_median" "activity_bouts_n" "activity_bouts_below10min_n" "activity_bouts_10to30min_n" "activity_bouts_above30min_n" "activity_bouts_below10min_dur_min" "activity_bouts_10to30min_dur_min" "activity_bouts_above30min_dur_min" "activity_bout_dur_min_mean" "activity_bout_dur_min_median"
"1" "ID01" 2021-04-30 "School" 0 113.35 48.65 62.9666666666667 4.61666666666667 11.4166666666667 127.65 241 0 192.502166666667 87.566 241.335333333333 19.8116666666667 125.320333333333 666.5355 474.033333333333 57.5166666666667 58.7166666666667 11.4166666666667 70.1333333333333 0 127.65 0 47.0331950207469 20.1867219917012 26.1272475795297 1.91562932226833 4.7372060857538 52.9668049792531 23.865836791148 24.3637621023513 4.7372060857538 29.1009681881051 0 52.9668049792531 NA 1.69829877959124 1.79991778006167 3.83274748544203 4.2913357400722 10.9769635036496 2.76570746887967 1.96694329183956 16 15 1 0 40 15 0 3.4375 2 15 11 3 1 28 62 38 8.53333333333333 3
"2" "ID01" 2021-04-30 "Hobbies" 0 12.4833333333333 12.7833333333333 28.4166666666667 0.683333333333333 6.63333333333333 48.5166666666667 61 0 21.8308333333333 24.2236666666667 101.427 2.80166666666667 67.954 218.237166666667 196.406333333333 16.4166666666667 25.4666666666667 6.63333333333333 32.1 0 48.5166666666667 0 20.4644808743169 20.9562841530055 46.5846994535519 1.12021857923497 10.8743169398907 79.5355191256831 26.9125683060109 41.7486338797814 10.8743169398907 52.6229508196721 0 79.5355191256831 NA 1.74879839786382 1.89494132985658 3.56927859237537 4.1 10.2443216080402 3.57765846994536 3.21977595628415 2 2 0 0 3 0 0 1.5 1.5 2 1 0 1 8 0 46 27 27
"3" "ID01" 2021-05-03 "School" 0 154.65 56.75 24.7666666666667 2.41666666666667 2.41666666666667 86.35 241 0 244.987 96.299 86.1106666666667 10.9631666666667 19.7083333333333 458.068166666667 213.081166666667 62.9833333333333 20.95 2.41666666666667 23.3666666666667 0 86.35 0 64.1701244813278 23.5477178423236 10.2766251728907 1.00276625172891 1.00276625172891 35.8298755186722 26.134163208852 8.69294605809129 1.00276625172891 9.69571230982019 0 35.8298755186722 NA 1.58413837698028 1.6968986784141 3.47687752355316 4.53648275862069 8.1551724137931 1.90069778699862 0.884154218533887 12 9 2 1 45 44 36 10.4166666666667 7 12 8 4 0 22 68 0 7.5 3.5
"4" "ID01" 2021-05-04 "School" 0 209.5 47.4666666666667 31.1833333333333 10.4 2.45 91.5 301 0 346.019833333333 77.1493333333333 113.971666666667 45.2573333333333 28.197 610.595166666667 264.575333333333 51.2666666666667 37.7833333333333 2.45 40.2333333333333 0 91.5 0 69.6013289036545 15.7696566998893 10.359911406423 3.45514950166113 0.813953488372093 30.3986710963455 17.0321151716501 12.5526024363234 0.813953488372093 13.3665559246955 0 30.3986710963455 NA 1.65164598249801 1.62533707865169 3.65489043292357 4.35166666666667 11.5089795918367 2.0285553709856 0.878987818383167 17 12 3 2 40 42 71 9 4 17 13 4 0 39 51 0 5.29411764705882 4
"5" "ID01" 2021-05-04 "Hobbies" 0 18.3666666666667 14.25 18.5333333333333 0 9.85 42.6333333333333 61 0 26.6793333333333 26.843 72.388 0 117.411666666667 243.322 216.642666666667 15.15 17.3 10.1833333333333 27.4833333333333 0 42.6333333333333 0 30.1092896174863 23.3606557377049 30.3825136612022 0 16.1475409836066 69.8907103825137 24.8360655737705 28.3606557377049 16.6939890710383 45.0546448087432 0 69.8907103825137 NA 1.45259528130671 1.88371929824561 3.9058273381295 NA 11.9199661590525 3.98888524590164 3.55151912568306 3 3 0 0 7 0 0 2.33333333333333 1 3 0 3 0 0 42 0 14 11
"6" "ID01" 2021-05-05 "School" 0 194.433333333333 59.4166666666667 59.8166666666667 6 11.3333333333333 136.566666666667 331 0 316.558166666667 107.591 224.000333333333 27.2316666666667 118.730666666667 794.111833333333 477.553666666667 68.65 56.5833333333333 11.3333333333333 67.9166666666667 0 136.566666666667 0 58.7411883182276 17.9506545820745 18.0715005035247 1.81268882175227 3.42396777442095 41.2588116817724 20.7401812688822 17.0946626384693 3.42396777442095 20.5186304128902 0 41.2588116817724 NA 1.62810646322647 1.81078821879383 3.74478127612148 4.53861111111111 10.4762352941176 2.39912940584089 1.44276032225579 20 17 2 1 53 42 39 6.7 3.5 20 16 4 0 62 74 0 6.8 5.5
"7" "ID02" 2021-04-29 "School" 0 174.283333333333 31.2333333333333 28.0833333333333 2.53333333333333 4.86666666666667 66.7166666666667 241 0 201.873833333333 49.7956666666667 96.2083333333333 12.4181666666667 52.8466666666667 413.142666666667 211.268833333333 39.7166666666667 22.1333333333333 4.86666666666667 27 0 66.7166666666667 0 72.3167358229599 12.9598893499308 11.6528354080221 1.05117565698479 2.01936376210235 27.6832641770401 16.4799446749654 9.18395573997234 2.01936376210235 11.2033195020747 0 27.6832641770401 NA 1.15830831022282 1.59431163287086 3.42581602373887 4.90190789473684 10.858904109589 1.71428492392808 0.876634163208852 6 1 2 3 1 34 112 24.5 26 5 2 3 0 9 57 0 13.2 18
"8" "ID02" 2021-04-29 "Hobbies" 0 16.5 7.08333333333333 22.6333333333333 0 44.7833333333333 74.5 91 0 25.1513333333333 11.5108333333333 89.9793333333333 0 600.038333333333 726.679833333333 701.5285 11.55 18.1666666666667 44.7833333333333 62.95 0 74.5 0 18.1318681318681 7.78388278388278 24.8717948717949 0 49.2124542124542 81.8681318681319 12.6923076923077 19.96336996337 49.2124542124542 69.1758241758242 0 81.8681318681319 NA 1.52432323232323 1.62505882352941 3.97552282768778 NA 13.3986974320804 7.98549267399267 7.7091043956044 2 2 0 0 10 0 0 5 5 2 1 0 1 1 0 75 38 38
"9" "ID02" 2021-04-30 "School" 0 117.433333333333 51.0833333333333 56.95 2.53333333333333 13 123.566666666667 241 0 161.337 78.9775 214.276333333333 11.1886666666667 123.284 589.0635 427.7265 61.6166666666667 48.95 13 61.95 0 123.566666666667 0 48.7275242047026 21.1964038727524 23.6307053941909 1.05117565698479 5.39419087136929 51.2724757952974 25.567081604426 20.3112033195021 5.39419087136929 25.7053941908714 0 51.2724757952974 NA 1.37386034629577 1.54605220228385 3.76253438688908 4.41657894736842 9.48338461538462 2.4442468879668 1.77479875518672 9 6 3 0 12 62 0 8.22222222222222 4 8 3 3 2 12 37 73 15.25 11.5
"10" "ID02" 2021-05-03 "School" 0 163.933333333333 38.8333333333333 27.5333333333333 7.73333333333333 2.96666666666667 77.0666666666667 241 0 209.390166666667 59.5891666666667 94.308 33.2356666666667 26.2273333333333 422.750333333333 213.360166666667 49.2166666666667 24.8833333333333 2.96666666666667 27.85 0 77.0666666666667 0 68.0221300138313 16.1134163208852 11.4246196403873 3.2088520055325 1.23098201936376 31.9778699861687 20.4218533886584 10.3250345781466 1.23098201936376 11.5560165975104 0 31.9778699861687 NA 1.27728853192355 1.53448497854077 3.42523002421307 4.29771551724138 8.84067415730337 1.75415076071923 0.885311894882434 10 7 1 2 33 14 77 12.4 6 10 6 4 0 18 54 0 7.2 6
